,client_id,age,total
0,c_1,66,19
1,c_1,67,1
2,c_10,65,28
3,c_100,29,6
4,c_1000,55,42
5,c_1000,56,14
6,c_1001,39,49
7,c_1001,40,9
8,c_1002,39,20
9,c_1002,40,4
10,c_1003,39,41
11,c_1003,40,8
12,c_1004,48,29
13,c_1004,49,8
14,c_1005,80,25
15,c_1005,81,7
16,c_1006,42,120
17,c_1006,43,23
18,c_1007,80,15
19,c_1008,55,3
20,c_1009,27,10
21,c_101,20,8
22,c_101,21,3
23,c_1010,27,11
24,c_1010,28,4
25,c_1011,22,21
26,c_1011,23,13
27,c_1012,64,11
28,c_1012,65,2
29,c_1013,39,69
30,c_1013,40,19
31,c_1014,32,98
32,c_1014,33,12
33,c_1015,68,50
34,c_1015,69,4
35,c_1016,41,89
36,c_1016,42,13
37,c_1017,46,60
38,c_1017,47,19
39,c_1018,28,10
40,c_1019,73,13
41,c_102,39,8
42,c_102,40,5
43,c_1020,46,16
44,c_1020,47,3
45,c_1021,22,7
46,c_1021,23,3
47,c_1022,25,12
48,c_1022,26,2
49,c_1023,22,16
50,c_1023,23,10
51,c_1024,51,6
52,c_1024,52,1
53,c_1025,37,107
54,c_1025,38,15
55,c_1026,23,19
56,c_1026,24,2
57,c_1027,42,46
58,c_1027,43,9
59,c_1028,35,120
60,c_1028,36,19
61,c_1029,65,4
62,c_1029,66,3
63,c_103,35,96
64,c_103,36,13
65,c_1030,73,11
66,c_1030,74,5
67,c_1031,58,58
68,c_1031,59,19
69,c_1032,58,22
70,c_1032,59,3
71,c_1033,21,1
72,c_1033,22,2
73,c_1034,57,2
74,c_1034,58,4
75,c_1035,40,7
76,c_1035,41,1
77,c_1036,45,16
78,c_1036,46,2
79,c_1037,60,40
80,c_1037,61,8
81,c_1038,19,17
82,c_1039,58,30
83,c_1039,59,8
84,c_104,26,3
85,c_1040,43,19
86,c_1040,44,1
87,c_1041,44,20
88,c_1042,17,2
89,c_1042,18,4
90,c_1043,44,46
91,c_1044,65,10
92,c_1044,66,1
93,c_1045,49,23
94,c_1045,50,11
95,c_1046,17,16
96,c_1046,18,3
97,c_1047,48,27
98,c_1047,49,6
99,c_1048,23,7
100,c_1048,24,2
101,c_1049,55,20
102,c_1049,56,9
103,c_105,45,15
104,c_105,46,6
105,c_1050,36,93
106,c_1050,37,24
107,c_1051,53,29
108,c_1051,54,12
109,c_1052,20,18
110,c_1052,21,1
111,c_1053,22,20
112,c_1054,56,33
113,c_1054,57,6
114,c_1055,56,35
115,c_1055,57,10
116,c_1056,26,5
117,c_1056,27,4
118,c_1057,44,46
119,c_1057,45,6
120,c_1058,52,29
121,c_1058,53,1
122,c_1059,25,4
123,c_1059,26,1
124,c_106,54,6
125,c_1060,48,93
126,c_1060,49,21
127,c_1061,30,35
128,c_1062,35,19
129,c_1062,36,2
130,c_1063,82,59
131,c_1063,83,14
132,c_1064,23,18
133,c_1064,24,5
134,c_1065,17,16
135,c_1066,20,14
136,c_1067,34,58
137,c_1067,35,28
138,c_1068,39,26
139,c_1068,40,5
140,c_1069,23,3
141,c_107,37,72
142,c_107,38,3
143,c_1070,65,21
144,c_1070,66,5
145,c_1071,42,28
146,c_1071,43,14
147,c_1072,35,44
148,c_1073,60,5
149,c_1073,61,8
150,c_1074,43,143
151,c_1074,44,24
152,c_1075,50,29
153,c_1075,51,11
154,c_1076,56,12
155,c_1076,57,1
156,c_1077,36,86
157,c_1077,37,20
158,c_1078,56,19
159,c_1079,38,4
160,c_1079,39,2
161,c_108,40,31
162,c_108,41,5
163,c_1080,52,19
164,c_1080,53,8
165,c_1081,57,38
166,c_1081,58,10
167,c_1082,79,2
168,c_1082,80,1
169,c_1083,35,33
170,c_1083,36,1
171,c_1084,34,47
172,c_1084,35,9
173,c_1085,40,17
174,c_1085,41,6
175,c_1086,40,21
176,c_1086,41,2
177,c_1087,42,50
178,c_1087,43,15
179,c_1088,17,7
180,c_1089,50,7
181,c_109,17,2
182,c_109,18,4
183,c_1090,51,6
184,c_1091,42,121
185,c_1091,43,15
186,c_1092,49,19
187,c_1092,50,7
188,c_1093,28,9
189,c_1093,29,2
190,c_1094,17,12
191,c_1094,18,2
192,c_1095,30,54
193,c_1095,31,4
194,c_1096,22,26
195,c_1096,23,1
196,c_1097,68,12
197,c_1097,69,3
198,c_1098,35,36
199,c_1098,36,19
200,c_1099,65,18
201,c_1099,66,4
202,c_11,65,19
203,c_11,66,2
204,c_110,46,121
205,c_110,47,28
206,c_1100,24,11
207,c_1100,25,10
208,c_1101,18,11
209,c_1101,19,2
210,c_1102,37,53
211,c_1102,38,11
212,c_1103,18,3
213,c_1103,19,2
214,c_1104,47,100
215,c_1104,48,12
216,c_1105,17,18
217,c_1106,32,23
218,c_1106,33,5
219,c_1107,29,11
220,c_1107,30,1
221,c_1108,44,10
222,c_1109,23,11
223,c_1109,24,4
224,c_111,28,10
225,c_1110,37,128
226,c_1110,38,29
227,c_1111,17,18
228,c_1111,18,7
229,c_1112,34,41
230,c_1112,35,5
231,c_1113,49,16
232,c_1113,50,2
233,c_1114,43,23
234,c_1115,39,60
235,c_1115,40,11
236,c_1116,25,6
237,c_1117,29,6
238,c_1117,30,2
239,c_1118,45,144
240,c_1118,46,14
241,c_1119,61,16
242,c_112,49,37
243,c_1120,40,42
244,c_1120,41,12
245,c_1121,60,17
246,c_1121,61,1
247,c_1122,61,55
248,c_1122,62,9
249,c_1123,42,37
250,c_1123,43,8
251,c_1124,71,28
252,c_1124,72,5
253,c_1125,49,15
254,c_1125,50,22
255,c_1126,53,44
256,c_1126,54,3
257,c_1127,26,11
258,c_1127,27,2
259,c_1128,58,21
260,c_1128,59,3
261,c_1129,37,14
262,c_1129,38,2
263,c_113,47,29
264,c_113,48,5
265,c_1130,42,41
266,c_1130,43,4
267,c_1131,17,6
268,c_1131,18,3
269,c_1132,43,24
270,c_1132,44,3
271,c_1133,45,68
272,c_1133,46,18
273,c_1134,17,4
274,c_1135,55,7
275,c_1136,84,19
276,c_1136,85,5
277,c_1137,78,36
278,c_1137,79,14
279,c_1138,44,79
280,c_1138,45,20
281,c_1139,40,70
282,c_1139,41,21
283,c_114,17,8
284,c_114,18,1
285,c_1140,18,7
286,c_1141,17,3
287,c_1142,70,15
288,c_1143,17,17
289,c_1143,18,4
290,c_1144,46,44
291,c_1144,47,15
292,c_1145,45,72
293,c_1145,46,14
294,c_1146,52,14
295,c_1147,23,5
296,c_1147,24,2
297,c_1148,63,22
298,c_1148,64,6
299,c_1149,21,27
300,c_1149,22,7
301,c_115,42,12
302,c_1150,44,24
303,c_1150,45,4
304,c_1151,65,44
305,c_1151,66,9
306,c_1152,39,65
307,c_1152,40,3
308,c_1153,43,69
309,c_1153,44,2
310,c_1154,35,38
311,c_1154,36,19
312,c_1155,70,19
313,c_1155,71,1
314,c_1156,63,34
315,c_1156,64,5
316,c_1157,56,4
317,c_1157,57,2
318,c_1158,29,9
319,c_1158,30,2
320,c_1159,25,2
321,c_1159,26,1
322,c_116,25,18
323,c_116,26,1
324,c_1160,36,12
325,c_1160,37,1
326,c_1161,50,9
327,c_1161,51,1
328,c_1162,63,15
329,c_1162,64,3
330,c_1163,68,10
331,c_1163,69,5
332,c_1164,71,16
333,c_1165,56,26
334,c_1165,57,8
335,c_1166,40,19
336,c_1166,41,3
337,c_1167,44,43
338,c_1167,45,5
339,c_1168,32,44
340,c_1168,33,21
341,c_1169,24,16
342,c_1169,25,6
343,c_117,33,57
344,c_117,34,6
345,c_1170,33,30
346,c_1170,34,8
347,c_1171,86,10
348,c_1171,87,1
349,c_1172,27,14
350,c_1172,28,3
351,c_1173,25,26
352,c_1174,52,15
353,c_1175,50,11
354,c_1175,51,6
355,c_1176,20,6
356,c_1176,21,4
357,c_1177,44,93
358,c_1177,45,12
359,c_1178,37,93
360,c_1178,38,15
361,c_1179,19,32
362,c_118,48,21
363,c_118,49,5
364,c_1180,57,11
365,c_1181,19,5
366,c_1181,20,3
367,c_1182,37,21
368,c_1182,38,3
369,c_1183,42,111
370,c_1183,43,23
371,c_1184,63,4
372,c_1184,64,3
373,c_1185,17,9
374,c_1185,18,1
375,c_1186,25,14
376,c_1187,19,5
377,c_1187,20,3
378,c_1188,74,10
379,c_1189,36,70
